"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.706570000E-1,-1.381404698E-4,-5.640315581E-3,1.978814721E-2,2.057675904E-2
6.806670000E-1,-7.068434050E-3,6.993649076E-3,1.813864768E-2,2.068536746E-2
6.906770000E-1,-5.267327176E-3,-3.265217696E-3,1.753872335E-2,1.860143002E-2
7.006860000E-1,6.020530779E-4,-8.874972439E-3,1.185055196E-2,1.481766465E-2
7.106960000E-1,-5.289966865E-3,-1.169799445E-2,1.768724263E-2,2.185555708E-2
7.207060000E-1,-6.812974680E-3,-1.824029787E-3,2.232525408E-2,2.341283149E-2
7.307160000E-1,-7.575204922E-3,-2.695342577E-3,1.768431902E-2,1.942636714E-2
7.407260000E-1,-3.748065233E-3,8.396693040E-5,1.558750749E-2,1.603201276E-2
7.507360000E-1,1.805620193E-3,-2.250995301E-3,1.483672500E-2,1.511474951E-2
7.607450000E-1,-6.657950375E-3,-4.316958203E-3,1.483555555E-2,1.682433178E-2
7.707550000E-1,-1.061765741E-2,-6.533555430E-3,1.693002820E-2,2.102493401E-2
7.807650000E-1,-1.984535856E-3,-1.008270113E-3,1.408360362E-2,1.425843197E-2
7.907750000E-1,1.714239176E-4,1.948004463E-3,1.692768931E-2,1.704026916E-2
8.007850000E-1,-6.535588251E-3,-5.891097179E-3,7.345857024E-3,1.146213572E-2
8.107940000E-1,-1.545601822E-3,-7.233654438E-3,1.932153940E-2,2.068904363E-2
8.208040000E-1,-1.455371976E-3,-4.418996684E-3,1.512967050E-2,1.582885241E-2
8.308140000E-1,7.270281762E-4,-6.663751910E-3,1.183768809E-2,1.360386044E-2
8.408240000E-1,2.332947683E-3,-5.964397509E-3,1.019169688E-2,1.203691688E-2
8.508340000E-1,1.678059530E-4,-5.518337181E-3,1.663065076E-2,1.752309187E-2
8.608440000E-1,-3.383061932E-3,5.418322384E-3,1.288901746E-2,1.438506506E-2
8.708530000E-1,3.215173753E-3,-1.699356185E-3,1.064427137E-2,1.124836285E-2
8.808630000E-1,2.327210102E-3,2.782968585E-3,1.947415173E-2,1.980917481E-2
8.908730000E-1,-7.687663324E-3,-6.661449568E-3,1.244053602E-2,1.606991021E-2
9.008830000E-1,-7.953775590E-3,3.705855645E-3,6.304467916E-3,1.080473174E-2
9.108930000E-1,-9.301549662E-4,1.775539010E-3,1.109275281E-2,1.127239513E-2
9.209020000E-1,-1.026471399E-2,-6.137429411E-4,2.156862438E-2,2.389448872E-2
9.309120000E-1,-1.654021991E-3,6.483739894E-4,1.842223763E-2,1.850770156E-2
9.409220000E-1,-7.568279626E-3,-2.264498714E-3,1.857017219E-2,2.018063691E-2
9.509320000E-1,-1.107203174E-2,-8.032767819E-3,1.782055914E-2,2.246525259E-2
9.609420000E-1,-1.288333470E-3,-7.519720327E-3,5.547253489E-3,9.432816027E-3
9.709520000E-1,-2.857251065E-3,-9.763717242E-3,1.707445443E-2,1.987538810E-2
9.809610000E-1,-6.299671372E-3,-3.905099519E-3,1.587986827E-2,1.752443659E-2
9.909710000E-1,-6.698232209E-3,-5.854762215E-3,1.168916881E-2,1.468949362E-2
